index,County,Precinct,Registered Voters,Janet Addison Mauldin (I) (Rep)_Election Day Votes,Janet Addison Mauldin (I) (Rep)_Advanced Voting Votes,Janet Addison Mauldin (I) (Rep)_Absentee by Mail Votes,Janet Addison Mauldin (I) (Rep)_Provisional Votes,Janet Addison Mauldin (I) (Rep)_Choice Total,Total,
0,Wilcox,Rochelle North 1,558,75,89,30,0,194,194,
1,Wilcox,Abbeville North 2,441,45,229,40,0,314,314,
2,Wilcox,Pineview 2,630,163,132,50,0,345,345,
3,Wilcox,Pitts 3,876,262,248,80,0,590,590,
4,Wilcox,Rochelle South 4,1033,185,386,116,0,687,687,
5,Wilcox,Abbeville South 5,1123,126,375,114,0,615,615,
