index,County,Precinct,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
0,Pickens,Yellow Creek,3571,791,968,302,0,2061,108,210,265,0,583,14,6,7,0,27,2671,
1,Pickens,Sharptop,2616,585,692,308,1,1586,92,140,242,0,474,15,13,8,0,36,2096,
2,Pickens,Appalachian,1933,392,584,160,0,1136,50,104,77,0,231,15,4,2,0,21,1388,
3,Pickens,Refuge,2490,560,767,172,0,1499,47,108,83,0,238,16,2,2,0,20,1757,
4,Pickens,Hill,2042,519,578,160,2,1259,62,95,84,0,241,19,8,5,0,32,1532,
5,Pickens,Hinton,825,310,145,36,0,491,27,18,14,0,59,13,3,0,0,16,566,
6,Pickens,Jerusalem,1145,503,197,55,0,755,36,24,41,0,101,2,0,1,0,3,859,
7,Pickens,Ludville,721,315,96,31,0,442,16,10,12,0,38,4,0,2,0,6,486,
8,Pickens,Nelson,1474,415,364,87,0,866,44,54,53,0,151,11,4,4,0,19,1036,
9,Pickens,Talking Rock,1781,481,468,134,3,1086,22,65,44,0,131,4,5,1,0,10,1227,
10,Pickens,Jasper,2517,453,633,153,1,1240,88,130,119,0,337,7,8,1,0,16,1593,
11,Pickens,Tate,2651,670,795,188,1,1654,53,86,85,0,224,15,11,1,0,27,1905,
