index,County,Precinct,Registered Voters,Jennifer Edwards Jordan (I) (Rep)_Election Day Votes,Jennifer Edwards Jordan (I) (Rep)_Advanced Voting Votes,Jennifer Edwards Jordan (I) (Rep)_Absentee by Mail Votes,Jennifer Edwards Jordan (I) (Rep)_Provisional Votes,Jennifer Edwards Jordan (I) (Rep)_Choice Total,Total,
0,Pickens,Yellow Creek,3571,834,1037,386,0,2257,2257,
1,Pickens,Sharptop,2616,607,751,384,0,1742,1742,
2,Pickens,Appalachian,1933,418,633,179,0,1230,1230,
3,Pickens,Refuge,2490,574,796,211,0,1581,1581,
4,Pickens,Hill,2042,555,612,183,2,1352,1352,
5,Pickens,Hinton,825,315,147,35,0,497,497,
6,Pickens,Jerusalem,1145,492,201,73,0,766,766,
7,Pickens,Ludville,721,312,96,37,0,445,445,
8,Pickens,Nelson,1474,433,380,106,0,919,919,
9,Pickens,Talking Rock,1781,466,485,152,3,1106,1106,
10,Pickens,Jasper,2517,493,690,197,1,1381,1381,
11,Pickens,Tate,2651,675,813,222,1,1711,1711,
