index,County,Precinct,Registered Voters,Chuck Payne (I) (Rep)_Election Day Votes,Chuck Payne (I) (Rep)_Advanced Voting Votes,Chuck Payne (I) (Rep)_Absentee by Mail Votes,Chuck Payne (I) (Rep)_Provisional Votes,Chuck Payne (I) (Rep)_Choice Total,Total,
0,Pickens,Hill,2042,556,603,188,2,1349,1349,
1,Pickens,Hinton,825,320,152,30,0,502,502,
2,Pickens,Jerusalem,1145,498,201,71,0,770,770,
3,Pickens,Ludville,721,307,95,36,0,438,438,
4,Pickens,Talking Rock,1781,466,488,148,3,1105,1105,
5,Pickens,Jasper,2517,1,0,0,1,2,2,
6,Pickens,Tate,2651,670,821,216,1,1708,1708,
