index,County,Precinct,Registered Voters,Steve Gooch (I) (Rep)_Election Day Votes,Steve Gooch (I) (Rep)_Advanced Voting Votes,Steve Gooch (I) (Rep)_Absentee by Mail Votes,Steve Gooch (I) (Rep)_Provisional Votes,Steve Gooch (I) (Rep)_Choice Total,June Krise (Dem)_Election Day Votes,June Krise (Dem)_Advanced Voting Votes,June Krise (Dem)_Absentee by Mail Votes,June Krise (Dem)_Provisional Votes,June Krise (Dem)_Choice Total,Total,
0,Pickens,Yellow Creek,3571,777,967,335,0,2079,98,188,226,0,512,2591,
1,Pickens,Sharptop,2616,586,676,332,1,1595,81,141,206,0,428,2023,
2,Pickens,Appalachian,1933,390,587,158,0,1135,51,93,74,0,218,1353,
3,Pickens,Refuge,2490,552,753,186,0,1491,49,103,72,0,224,1715,
4,Pickens,Nelson,1474,412,358,86,0,856,42,55,55,0,152,1008,
5,Pickens,Jasper,2517,444,625,161,0,1230,86,125,105,0,316,1546,
