index,County,Precinct,Registered Voters,M. John Wood (Rep)_Election Day Votes,M. John Wood (Rep)_Advanced Voting Votes,M. John Wood (Rep)_Absentee by Mail Votes,M. John Wood (Rep)_Provisional Votes,M. John Wood (Rep)_Choice Total,Jonathan L. Pitts (I) (Dem)_Election Day Votes,Jonathan L. Pitts (I) (Dem)_Advanced Voting Votes,Jonathan L. Pitts (I) (Dem)_Absentee by Mail Votes,Jonathan L. Pitts (I) (Dem)_Provisional Votes,Jonathan L. Pitts (I) (Dem)_Choice Total,Total,
0,Jones,Gray,0,36,158,32,0,226,19,90,28,0,137,363,
1,Jones,Ethridge,0,58,143,43,0,244,59,183,102,0,344,588,
2,Jones,Clinton,0,28,109,24,0,161,22,116,54,0,192,353,
3,Jones,Davidson,0,22,45,8,0,75,7,19,10,0,36,111,
4,Jones,Pope,0,253,431,96,0,780,155,249,122,2,528,1308,
5,Jones,Barron,0,93,99,31,0,223,76,148,63,0,287,510,
