index,County,Precinct,Registered Voters,T. Wright Barksdale (Rep)_Election Day Votes,T. Wright Barksdale (Rep)_Advanced Voting Votes,T. Wright Barksdale (Rep)_Absentee by Mail Votes,T. Wright Barksdale (Rep)_Provisional Votes,T. Wright Barksdale (Rep)_Choice Total,Total,
0,Jones,Gray,0,274,1263,293,0,1830,1830,
1,Jones,Hawkins,0,365,809,340,0,1514,1514,
2,Jones,Ethridge,0,221,634,185,0,1040,1040,
3,Jones,Clinton,0,323,958,255,2,1538,1538,
4,Jones,Roberts,0,514,715,262,1,1492,1492,
5,Jones,Davidson,0,372,529,131,0,1032,1032,
6,Jones,Pope,0,362,600,166,1,1129,1129,
7,Jones,Barron,0,306,426,124,0,856,856,
8,Jones,Sanders,0,95,15,15,0,125,125,
9,Jones,Finney,0,620,828,276,1,1725,1725,
