index,County,Precinct,Registered Voters,Wendy Brown Vaughn (Rep)_Election Day Votes,Wendy Brown Vaughn (Rep)_Advanced Voting Votes,Wendy Brown Vaughn (Rep)_Absentee by Mail Votes,Wendy Brown Vaughn (Rep)_Provisional Votes,Wendy Brown Vaughn (Rep)_Choice Total,Total,
0,Jones,Gray,0,216,979,226,0,1421,1421,
1,Jones,Hawkins,0,189,453,119,0,761,761,
2,Jones,Ethridge,0,57,193,31,0,281,281,
3,Jones,Roberts,0,66,82,22,0,170,170,
4,Jones,Davidson,0,293,414,105,0,812,812,
5,Jones,Pope,0,6,12,2,0,20,20,
