index,County,Precinct,Registered Voters,Burt Jones (I) (Rep)_Election Day Votes,Burt Jones (I) (Rep)_Advanced Voting Votes,Burt Jones (I) (Rep)_Absentee by Mail Votes,Burt Jones (I) (Rep)_Provisional Votes,Burt Jones (I) (Rep)_Choice Total,Veronica Brinson (Dem)_Election Day Votes,Veronica Brinson (Dem)_Advanced Voting Votes,Veronica Brinson (Dem)_Absentee by Mail Votes,Veronica Brinson (Dem)_Provisional Votes,Veronica Brinson (Dem)_Choice Total,Total,
0,Jones,Clinton,0,275,815,174,1,1265,53,218,132,0,403,1668,
1,Jones,Pope,0,303,513,105,1,922,111,175,122,1,409,1331,
2,Jones,Barron,0,267,380,100,0,747,66,101,92,0,259,1006,
3,Jones,Sanders,0,91,12,11,0,114,13,5,7,0,25,139,
4,Jones,Finney,0,581,711,214,1,1507,79,219,172,0,470,1977,
