index,County,Precinct,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,
0,Jones,Gray,0,243,1090,213,0,1546,40,250,160,0,450,9,35,9,0,53,2049,
1,Jones,Hawkins,0,239,495,119,0,853,179,628,483,0,1290,18,34,11,0,63,2206,
2,Jones,Ethridge,0,168,526,113,0,807,70,190,135,0,395,9,20,5,0,34,1236,
3,Jones,Clinton,0,280,830,173,2,1285,51,227,150,0,428,9,21,6,0,36,1749,
4,Jones,Roberts,0,433,560,170,0,1163,118,277,178,0,573,14,16,12,1,43,1779,
5,Jones,Davidson,0,339,477,103,1,920,35,78,52,0,165,18,13,3,0,34,1119,
6,Jones,Pope,0,290,514,99,1,904,112,173,128,0,413,15,9,3,0,27,1344,
7,Jones,Barron,0,265,377,94,0,736,62,108,89,0,259,7,3,10,0,20,1015,
8,Jones,Sanders,0,90,11,11,0,112,13,5,6,0,24,3,1,1,0,5,141,
9,Jones,Finney,0,565,694,195,1,1455,70,214,173,0,457,27,25,17,0,69,1981,
