index,County,Precinct,Registered Voters,Jan Hester Andrews (Rep)_Election Day Votes,Jan Hester Andrews (Rep)_Advanced Voting Votes,Jan Hester Andrews (Rep)_Absentee by Mail Votes,Jan Hester Andrews (Rep)_Provisional Votes,Jan Hester Andrews (Rep)_Choice Total,Daylon Martin (I) (Dem)_Election Day Votes,Daylon Martin (I) (Dem)_Advanced Voting Votes,Daylon Martin (I) (Dem)_Absentee by Mail Votes,Daylon Martin (I) (Dem)_Provisional Votes,Daylon Martin (I) (Dem)_Choice Total,Total,
0,Jones,Hawkins,0,79,142,70,0,291,146,475,359,0,980,1271,
1,Jones,Roberts,0,381,516,184,0,1081,118,241,150,1,510,1591,
2,Jones,Davidson,0,48,55,12,0,115,7,11,5,0,23,138,
