index,County,Precinct,Registered Voters,Austin Scott (I) (Rep)_Election Day Votes,Austin Scott (I) (Rep)_Advanced Voting Votes,Austin Scott (I) (Rep)_Absentee by Mail Votes,Austin Scott (I) (Rep)_Provisional Votes,Austin Scott (I) (Rep)_Choice Total,Lindsay Holliday (Dem)_Election Day Votes,Lindsay Holliday (Dem)_Advanced Voting Votes,Lindsay Holliday (Dem)_Absentee by Mail Votes,Lindsay Holliday (Dem)_Provisional Votes,Lindsay Holliday (Dem)_Choice Total,Total,
0,Jones,Gray,0,252,1111,220,0,1583,44,266,161,0,471,2054,
1,Jones,Hawkins,0,247,513,129,0,889,192,634,487,0,1313,2202,
2,Jones,Ethridge,0,176,533,123,0,832,75,197,131,0,403,1235,
3,Jones,Clinton,0,288,844,180,2,1314,58,237,150,0,445,1759,
4,Jones,Roberts,0,436,569,183,0,1188,127,280,179,1,587,1775,
5,Jones,Davidson,0,356,488,104,1,949,40,81,54,0,175,1124,
6,Jones,Pope,0,305,509,106,1,921,112,179,124,0,415,1336,
7,Jones,Barron,0,271,379,95,0,745,65,104,96,0,265,1010,
8,Jones,Sanders,0,93,12,10,0,115,12,5,8,0,25,140,
9,Jones,Finney,0,584,705,205,1,1495,81,234,189,0,504,1999,
