index,County,Precinct,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
0,Jones,Gray,0,249,1104,209,0,1562,45,276,161,0,482,9,19,10,0,38,2082,
1,Jones,Hawkins,0,245,509,124,0,878,190,650,484,0,1324,16,21,10,0,47,2249,
2,Jones,Ethridge,0,175,528,110,0,813,72,210,135,0,417,7,12,4,0,23,1253,
3,Jones,Clinton,0,276,836,173,2,1287,68,240,150,0,458,9,17,5,0,31,1776,
4,Jones,Roberts,0,435,562,170,0,1167,133,284,173,1,591,13,18,13,0,44,1802,
5,Jones,Davidson,0,351,477,100,1,929,43,88,57,0,188,12,13,1,0,26,1143,
6,Jones,Pope,0,303,508,99,0,910,110,186,126,1,423,15,11,4,0,30,1363,
7,Jones,Barron,0,266,377,93,0,736,70,110,90,0,270,5,2,5,0,12,1018,
8,Jones,Sanders,0,89,12,10,0,111,18,5,7,0,30,3,1,1,0,5,146,
9,Jones,Finney,0,565,696,199,1,1461,86,233,185,0,504,20,19,6,0,45,2010,
