index,County,Precinct,Registered Voters,Tracy Taylor (Rep)_Election Day Votes,Tracy Taylor (Rep)_Advanced Voting Votes,Tracy Taylor (Rep)_Absentee by Mail Votes,Tracy Taylor (Rep)_Provisional Votes,Tracy Taylor (Rep)_Choice Total,Freddie Powell Sims (I) (Dem)_Election Day Votes,Freddie Powell Sims (I) (Dem)_Advanced Voting Votes,Freddie Powell Sims (I) (Dem)_Absentee by Mail Votes,Freddie Powell Sims (I) (Dem)_Provisional Votes,Freddie Powell Sims (I) (Dem)_Choice Total,Total,
0,Dougherty,Palmyra Methodist,2761,299,283,173,3,758,230,294,230,8,762,1520,
1,Dougherty,Sherwood Elementary,3205,257,274,164,0,695,372,502,322,1,1197,1892,
2,Dougherty,Covenant Church,2334,311,209,113,0,633,250,281,225,2,758,1391,
3,Dougherty,Greenbriar Church,3885,397,647,302,5,1351,252,674,590,4,1520,2871,
4,Dougherty,Westover High School,3394,310,407,229,0,946,321,702,446,0,1469,2415,
5,Dougherty,Merry Acres Middle,2432,309,304,148,2,763,221,317,264,8,810,1573,
6,Dougherty,Darton College,4289,148,264,123,2,537,452,900,612,7,1971,2508,
7,Dougherty,Westtown Elementary,3265,52,59,43,0,154,478,577,650,1,1706,1860,
8,Dougherty,2nd Mt Zion Church,1465,248,164,104,1,517,140,144,171,2,457,974,
9,Dougherty,Mt Zion Center,3638,46,24,18,0,88,508,540,629,2,1679,1767,
10,Dougherty,Alice Coachman Elementary,750,8,5,9,0,22,121,157,198,0,476,498,
11,Dougherty,Carver Teen Center,1667,18,9,10,0,37,217,145,230,3,595,632,
12,Dougherty,Shiloh Baptist Church,1510,28,22,11,0,61,238,164,222,0,624,685,
13,Dougherty,Litman Cathedral,1486,27,19,7,3,56,221,176,206,20,623,679,
14,Dougherty,Phoebe Healthworks,1574,80,39,27,0,146,154,140,181,1,476,622,
15,Dougherty,Turner Elementary,1205,13,9,6,0,28,104,65,63,5,237,265,
16,Dougherty,Jackson Heights Elementary,2549,36,12,12,0,60,363,313,364,0,1040,1100,
17,Dougherty,Bill Miller Center,2404,58,43,28,1,130,310,355,279,4,948,1078,
18,Dougherty,Radium Middle School,693,60,28,27,0,115,94,113,79,0,286,401,
19,Dougherty,Putney 1st Baptist Church,2819,473,224,124,1,822,265,324,309,0,898,1720,
20,Dougherty,International Studies,1042,83,66,38,0,187,104,180,181,1,466,653,
21,Dougherty,Phoebe East,2965,92,56,53,1,202,446,366,357,3,1172,1374,
22,Dougherty,Pine Bluff Baptist Church,2221,212,130,113,0,455,258,299,302,0,859,1314,
23,Dougherty,Albany Middle School,1963,35,24,17,0,76,325,256,247,4,832,908,
24,Dougherty,Christ Church,1879,411,282,159,0,852,130,266,229,1,626,1478,
25,Dougherty,Lamar Reese Elementary,1098,21,16,11,1,49,165,185,256,4,610,659,
26,Dougherty,1st Christian Church,1505,217,217,140,0,574,159,192,141,1,493,1067,
27,Dougherty,Lovett Hall,1174,22,12,0,0,34,172,153,30,1,356,390,
