index,County,Precinct,Registered Voters,Clinton Johnson (I) (Dem)_Election Day Votes,Clinton Johnson (I) (Dem)_Advanced Voting Votes,Clinton Johnson (I) (Dem)_Absentee by Mail Votes,Clinton Johnson (I) (Dem)_Provisional Votes,Clinton Johnson (I) (Dem)_Choice Total,Total,
0,Dougherty,Shiloh Baptist Church,1510,141,100,115,0,356,356,
1,Dougherty,Phoebe Healthworks,1574,205,166,189,0,560,560,
2,Dougherty,Turner Elementary,1205,25,34,22,0,81,81,
3,Dougherty,Jackson Heights Elementary,2549,391,310,354,0,1055,1055,
4,Dougherty,Albany Middle School,1963,349,272,257,1,879,879,
5,Dougherty,Lovett Hall,1174,193,165,27,1,386,386,
