index,County,Precinct,Registered Voters,James C. Bush (I) (Dem)_Election Day Votes,James C. Bush (I) (Dem)_Advanced Voting Votes,James C. Bush (I) (Dem)_Absentee by Mail Votes,James C. Bush (I) (Dem)_Provisional Votes,James C. Bush (I) (Dem)_Choice Total,Total,
0,Dougherty,Darton College,4289,369,713,496,2,1580,1580,
1,Dougherty,Westtown Elementary,3265,524,638,669,0,1831,1831,
2,Dougherty,2nd Mt Zion Church,1465,283,241,220,2,746,746,
3,Dougherty,Carver Teen Center,1667,169,105,170,0,444,444,
4,Dougherty,Shiloh Baptist Church,1510,122,82,104,0,308,308,
5,Dougherty,Litman Cathedral,1486,245,190,203,22,660,660,
