index,County,Precinct,Registered Voters,Camia Whitaker Hopson (I) (Dem)_Election Day Votes,Camia Whitaker Hopson (I) (Dem)_Advanced Voting Votes,Camia Whitaker Hopson (I) (Dem)_Absentee by Mail Votes,Camia Whitaker Hopson (I) (Dem)_Provisional Votes,Camia Whitaker Hopson (I) (Dem)_Choice Total,Total,
0,Dougherty,Palmyra Methodist,2761,417,461,329,8,1215,1215,
1,Dougherty,Sherwood Elementary,3205,537,660,408,0,1605,1605,
2,Dougherty,Covenant Church,2334,438,417,282,2,1139,1139,
3,Dougherty,Greenbriar Church,3885,499,1065,734,6,2304,2304,
4,Dougherty,Merry Acres Middle,2432,411,512,348,10,1281,1281,
5,Dougherty,Phoebe Healthworks,1574,200,167,185,1,553,553,
6,Dougherty,Turner Elementary,1205,118,71,68,6,263,263,
7,Dougherty,Jackson Heights Elementary,2549,384,313,365,0,1062,1062,
8,Dougherty,Bill Miller Center,2404,353,384,284,3,1024,1024,
9,Dougherty,International Studies,1042,153,215,196,1,565,565,
10,Dougherty,Phoebe East,2965,504,405,386,4,1299,1299,
11,Dougherty,Pine Bluff Baptist Church,2221,383,364,351,0,1098,1098,
12,Dougherty,Albany Middle School,1963,345,265,253,2,865,865,
13,Dougherty,1st Christian Church,1505,290,311,203,1,805,805,
14,Dougherty,Lovett Hall,1174,197,164,25,1,387,387,
