index,County,Precinct,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
0,Dougherty,Palmyra Methodist,2761,382,447,325,7,1161,138,120,67,1,326,1487,
1,Dougherty,Sherwood Elementary,3205,481,602,402,1,1486,145,157,72,0,374,1860,
2,Dougherty,Covenant Church,2334,432,373,275,0,1080,121,111,54,1,287,1367,
3,Dougherty,Greenbriar Church,3885,510,1025,743,5,2283,123,284,112,3,522,2805,
4,Dougherty,Westover High School,3394,485,894,552,0,1931,135,199,110,0,444,2375,
5,Dougherty,Merry Acres Middle,2432,400,495,344,9,1248,119,125,48,1,293,1541,
6,Dougherty,Darton College,4289,460,902,559,4,1925,140,254,151,3,548,2473,
7,Dougherty,Westtown Elementary,3265,408,485,525,0,1418,128,159,146,1,434,1852,
8,Dougherty,2nd Mt Zion Church,1465,292,219,204,2,717,90,82,59,0,231,948,
9,Dougherty,Mt Zion Center,3638,410,407,476,2,1295,150,146,138,0,434,1729,
10,Dougherty,Alice Coachman Elementary,750,104,125,152,0,381,27,36,56,0,119,500,
11,Dougherty,Carver Teen Center,1667,173,113,168,3,457,62,42,63,0,167,624,
12,Dougherty,Shiloh Baptist Church,1510,205,136,152,0,493,64,47,63,0,174,667,
13,Dougherty,Litman Cathedral,1486,182,140,149,17,488,65,52,55,7,179,667,
14,Dougherty,Phoebe Healthworks,1574,180,136,164,1,481,54,48,33,0,135,616,
15,Dougherty,Turner Elementary,1205,85,61,44,4,194,35,17,25,2,79,273,
16,Dougherty,Jackson Heights Elementary,2549,308,231,267,0,806,102,89,92,0,283,1089,
17,Dougherty,Bill Miller Center,2404,285,293,231,4,813,87,110,52,1,250,1063,
18,Dougherty,Radium Middle School,693,117,100,86,0,303,33,39,21,0,93,396,
19,Dougherty,Putney 1st Baptist Church,2819,540,403,341,1,1285,186,128,71,0,385,1670,
20,Dougherty,International Studies,1042,143,183,163,0,489,41,60,47,1,149,638,
21,Dougherty,Phoebe East,2965,403,316,304,4,1027,136,108,95,0,339,1366,
22,Dougherty,Pine Bluff Baptist Church,2221,312,319,307,0,938,137,94,84,0,315,1253,
23,Dougherty,Albany Middle School,1963,263,209,198,3,673,97,74,62,0,233,906,
24,Dougherty,Christ Church,1879,413,436,331,1,1181,110,100,54,0,264,1445,
25,Dougherty,Lamar Reese Elementary,1098,126,139,206,4,475,55,62,51,0,168,643,
26,Dougherty,1st Christian Church,1505,291,325,228,1,845,74,76,36,0,186,1031,
27,Dougherty,Lovett Hall,1174,153,135,23,1,312,43,30,11,0,84,396,
