index,County,Precinct,Registered Voters,Gloria Gaines (I) (Dem)_Election Day Votes,Gloria Gaines (I) (Dem)_Advanced Voting Votes,Gloria Gaines (I) (Dem)_Absentee by Mail Votes,Gloria Gaines (I) (Dem)_Provisional Votes,Gloria Gaines (I) (Dem)_Choice Total,Total,
0,Dougherty,Darton College,4289,374,712,502,2,1590,1590,
1,Dougherty,Westtown Elementary,3265,522,632,675,0,1829,1829,
2,Dougherty,2nd Mt Zion Church,1465,283,240,224,2,749,749,
3,Dougherty,Carver Teen Center,1667,169,105,174,0,448,448,
4,Dougherty,Shiloh Baptist Church,1510,124,80,103,0,307,307,
5,Dougherty,Litman Cathedral,1486,243,193,203,22,661,661,
