index,County,Precinct,Registered Voters,Robert Youngblood (I) (Dem)_Election Day Votes,Robert Youngblood (I) (Dem)_Advanced Voting Votes,Robert Youngblood (I) (Dem)_Absentee by Mail Votes,Robert Youngblood (I) (Dem)_Provisional Votes,Robert Youngblood (I) (Dem)_Choice Total,Total,
0,Dougherty,Greenbriar Church,3885,519,1118,743,5,2385,2385,
1,Dougherty,Westover High School,3394,549,971,583,0,2103,2103,
2,Dougherty,Darton College,4289,194,366,184,2,746,746,
3,Dougherty,Christ Church,1879,385,477,326,1,1189,1189,
4,Dougherty,1st Christian Church,1505,309,353,213,1,876,876,
