index,County,Precinct,Registered Voters,Velvet Edwards Poole (I) (Dem)_Election Day Votes,Velvet Edwards Poole (I) (Dem)_Advanced Voting Votes,Velvet Edwards Poole (I) (Dem)_Absentee by Mail Votes,Velvet Edwards Poole (I) (Dem)_Provisional Votes,Velvet Edwards Poole (I) (Dem)_Choice Total,Total,
0,Dougherty,Shiloh Baptist Church,1510,143,101,116,0,360,360,
1,Dougherty,Phoebe Healthworks,1574,206,166,185,0,557,557,
2,Dougherty,Turner Elementary,1205,27,34,23,0,84,84,
3,Dougherty,Jackson Heights Elementary,2549,390,315,354,0,1059,1059,
4,Dougherty,Albany Middle School,1963,350,269,255,2,876,876,
5,Dougherty,Lovett Hall,1174,194,163,26,1,384,384,
