index,County,Precinct,Registered Voters,Edward C. Newsome (Rep)_Election Day Votes,Edward C. Newsome (Rep)_Advanced Voting Votes,Edward C. Newsome (Rep)_Absentee by Mail Votes,Edward C. Newsome (Rep)_Provisional Votes,Edward C. Newsome (Rep)_Choice Total,Total,
0,Dougherty,Greenbriar Church,3885,566,1046,614,6,2232,2232,
1,Dougherty,Westover High School,3394,534,830,480,0,1844,1844,
2,Dougherty,Darton College,4289,177,311,132,2,622,622,
3,Dougherty,Christ Church,1879,501,435,260,0,1196,1196,
4,Dougherty,1st Christian Church,1505,321,338,200,1,860,860,
