index,County,Precinct,Registered Voters,Don Cole (Rep)_Election Day Votes,Don Cole (Rep)_Advanced Voting Votes,Don Cole (Rep)_Absentee by Mail Votes,Don Cole (Rep)_Provisional Votes,Don Cole (Rep)_Choice Total,Sanford Bishop (I) (Dem)_Election Day Votes,Sanford Bishop (I) (Dem)_Advanced Voting Votes,Sanford Bishop (I) (Dem)_Absentee by Mail Votes,Sanford Bishop (I) (Dem)_Provisional Votes,Sanford Bishop (I) (Dem)_Choice Total,Total,
0,Dougherty,Palmyra Methodist,2761,273,279,168,3,723,267,311,261,9,848,1571,
1,Dougherty,Sherwood Elementary,3205,231,252,159,0,642,411,538,333,1,1283,1925,
2,Dougherty,Covenant Church,2334,292,193,124,0,609,278,303,222,2,805,1414,
3,Dougherty,Greenbriar Church,3885,365,644,312,4,1325,291,696,589,5,1581,2906,
4,Dougherty,Westover High School,3394,281,406,239,0,926,364,714,445,0,1523,2449,
5,Dougherty,Merry Acres Middle,2432,284,310,156,2,752,251,325,260,9,845,1597,
6,Dougherty,Darton College,4289,110,240,102,1,453,495,941,638,7,2081,2534,
7,Dougherty,Westtown Elementary,3265,32,26,25,0,83,509,634,676,1,1820,1903,
8,Dougherty,2nd Mt Zion Church,1465,231,154,99,1,485,162,155,178,2,497,982,
9,Dougherty,Mt Zion Center,3638,14,6,7,0,27,566,572,644,2,1784,1811,
10,Dougherty,Alice Coachman Elementary,750,3,1,3,0,7,130,167,209,0,506,513,
11,Dougherty,Carver Teen Center,1667,4,1,4,0,9,234,156,239,3,632,641,
12,Dougherty,Shiloh Baptist Church,1510,9,16,5,0,30,264,170,228,0,662,692,
13,Dougherty,Litman Cathedral,1486,14,12,2,0,28,237,187,212,23,659,687,
14,Dougherty,Phoebe Healthworks,1574,60,33,22,0,115,179,151,186,0,516,631,
15,Dougherty,Turner Elementary,1205,10,2,3,0,15,107,77,68,6,258,273,
16,Dougherty,Jackson Heights Elementary,2549,9,4,5,0,18,403,328,376,0,1107,1125,
17,Dougherty,Bill Miller Center,2404,42,32,22,1,97,337,381,292,4,1014,1111,
18,Dougherty,Radium Middle School,693,54,22,26,0,102,104,121,79,0,304,406,
19,Dougherty,Putney 1st Baptist Church,2819,443,211,121,0,775,315,343,315,1,974,1749,
20,Dougherty,International Studies,1042,77,54,34,0,165,113,193,187,1,494,659,
21,Dougherty,Phoebe East,2965,67,44,44,1,156,478,389,368,3,1238,1394,
22,Dougherty,Pine Bluff Baptist Church,2221,192,121,98,0,411,285,315,317,0,917,1328,
23,Dougherty,Albany Middle School,1963,18,18,13,0,49,348,271,255,4,878,927,
24,Dougherty,Christ Church,1879,391,281,171,0,843,155,273,226,1,655,1498,
25,Dougherty,Lamar Reese Elementary,1098,17,8,2,0,27,170,201,266,6,643,670,
26,Dougherty,1st Christian Church,1505,196,220,141,0,557,183,200,137,1,521,1078,
27,Dougherty,Lovett Hall,1174,11,5,0,0,16,187,163,33,1,384,400,
