index,County,Precinct,Registered Voters,Geraldine West Hudley (Dem)_Election Day Votes,Geraldine West Hudley (Dem)_Advanced Voting Votes,Geraldine West Hudley (Dem)_Absentee by Mail Votes,Geraldine West Hudley (Dem)_Provisional Votes,Geraldine West Hudley (Dem)_Choice Total,Total,
0,Dougherty,Palmyra Methodist,2761,431,467,330,6,1234,1234,
1,Dougherty,Sherwood Elementary,3205,548,672,419,1,1640,1640,
2,Dougherty,Covenant Church,2334,453,426,288,1,1168,1168,
3,Dougherty,Greenbriar Church,3885,496,1076,734,6,2312,2312,
4,Dougherty,Westover High School,3394,528,942,555,0,2025,2025,
5,Dougherty,Merry Acres Middle,2432,421,521,335,9,1286,1286,
6,Dougherty,Darton College,4289,564,1073,678,8,2323,2323,
7,Dougherty,Westtown Elementary,3265,519,628,680,1,1828,1828,
8,Dougherty,2nd Mt Zion Church,1465,284,240,223,2,749,749,
9,Dougherty,Mt Zion Center,3638,557,560,621,2,1740,1740,
10,Dougherty,Alice Coachman Elementary,750,130,166,202,0,498,498,
11,Dougherty,Carver Teen Center,1667,231,149,234,3,617,617,
12,Dougherty,Shiloh Baptist Church,1510,265,184,220,0,669,669,
13,Dougherty,Litman Cathedral,1486,242,191,205,23,661,661,
14,Dougherty,Phoebe Healthworks,1574,210,165,194,1,570,570,
15,Dougherty,Turner Elementary,1205,118,75,71,6,270,270,
16,Dougherty,Jackson Heights Elementary,2549,392,313,364,0,1069,1069,
17,Dougherty,Bill Miller Center,2404,361,390,299,5,1055,1055,
18,Dougherty,Radium Middle School,693,133,133,94,0,360,360,
19,Dougherty,Putney 1st Baptist Church,2819,547,446,377,1,1371,1371,
20,Dougherty,International Studies,1042,161,219,206,1,587,587,
21,Dougherty,Phoebe East,2965,515,402,394,3,1314,1314,
22,Dougherty,Pine Bluff Baptist Church,2221,389,371,372,0,1132,1132,
23,Dougherty,Albany Middle School,1963,349,270,261,3,883,883,
24,Dougherty,Christ Church,1879,375,467,318,1,1161,1161,
25,Dougherty,Lamar Reese Elementary,1098,180,202,267,6,655,655,
26,Dougherty,1st Christian Church,1505,294,326,203,1,824,824,
27,Dougherty,Lovett Hall,1174,195,166,32,1,394,394,
