index,County,Precinct,Registered Voters,Winfred Dukes (I) (Dem)_Election Day Votes,Winfred Dukes (I) (Dem)_Advanced Voting Votes,Winfred Dukes (I) (Dem)_Absentee by Mail Votes,Winfred Dukes (I) (Dem)_Provisional Votes,Winfred Dukes (I) (Dem)_Choice Total,Total,
0,Dougherty,Westover High School,3394,523,938,565,0,2026,2026,
1,Dougherty,Darton College,4289,327,546,356,4,1233,1233,
2,Dougherty,Westtown Elementary,3265,527,638,673,0,1838,1838,
3,Dougherty,2nd Mt Zion Church,1465,277,241,225,2,745,745,
4,Dougherty,Mt Zion Center,3638,566,569,636,2,1773,1773,
5,Dougherty,Alice Coachman Elementary,750,131,163,208,0,502,502,
6,Dougherty,Carver Teen Center,1667,233,154,230,2,619,619,
7,Dougherty,Shiloh Baptist Church,1510,269,185,226,0,680,680,
8,Dougherty,Litman Cathedral,1486,244,192,207,22,665,665,
9,Dougherty,Radium Middle School,693,131,130,93,0,354,354,
10,Dougherty,Putney 1st Baptist Church,2819,523,439,372,1,1335,1335,
11,Dougherty,Lamar Reese Elementary,1098,178,201,268,4,651,651,
