index,County,Precinct,Registered Voters,"Michael L. Fowler, Sr. (I) (Dem)_Election Day Votes","Michael L. Fowler, Sr. (I) (Dem)_Advanced Voting Votes","Michael L. Fowler, Sr. (I) (Dem)_Absentee by Mail Votes","Michael L. Fowler, Sr. (I) (Dem)_Provisional Votes","Michael L. Fowler, Sr. (I) (Dem)_Choice Total",Total,
0,Dougherty,Palmyra Methodist,2761,473,520,358,7,1358,1358,
1,Dougherty,Sherwood Elementary,3205,588,716,446,1,1751,1751,
2,Dougherty,Covenant Church,2334,494,453,310,2,1259,1259,
3,Dougherty,Greenbriar Church,3885,573,1200,797,6,2576,2576,
4,Dougherty,Westover High School,3394,578,1029,614,0,2221,2221,
5,Dougherty,Merry Acres Middle,2432,463,576,366,10,1415,1415,
6,Dougherty,Darton College,4289,580,1118,697,6,2401,2401,
7,Dougherty,Westtown Elementary,3265,528,644,684,1,1857,1857,
8,Dougherty,2nd Mt Zion Church,1465,324,273,248,2,847,847,
9,Dougherty,Mt Zion Center,3638,566,569,632,2,1769,1769,
10,Dougherty,Alice Coachman Elementary,750,132,168,208,0,508,508,
11,Dougherty,Carver Teen Center,1667,236,153,239,3,631,631,
12,Dougherty,Shiloh Baptist Church,1510,273,189,226,0,688,688,
13,Dougherty,Litman Cathedral,1486,242,194,209,23,668,668,
14,Dougherty,Phoebe Healthworks,1574,219,176,200,1,596,596,
15,Dougherty,Turner Elementary,1205,118,76,70,5,269,269,
16,Dougherty,Jackson Heights Elementary,2549,401,328,361,0,1090,1090,
17,Dougherty,Bill Miller Center,2404,364,400,302,5,1071,1071,
18,Dougherty,Radium Middle School,693,140,138,100,0,378,378,
19,Dougherty,Putney 1st Baptist Church,2819,607,481,395,1,1484,1484,
20,Dougherty,International Studies,1042,165,228,209,1,603,603,
21,Dougherty,Phoebe East,2965,525,421,398,3,1347,1347,
22,Dougherty,Pine Bluff Baptist Church,2221,416,395,375,0,1186,1186,
23,Dougherty,Albany Middle School,1963,359,280,258,4,901,901,
24,Dougherty,Christ Church,1879,444,503,345,1,1293,1293,
25,Dougherty,Lamar Reese Elementary,1098,186,203,268,5,662,662,
26,Dougherty,1st Christian Church,1505,331,365,233,1,930,930,
27,Dougherty,Lovett Hall,1174,197,168,32,1,398,398,
