index,County,Precinct,Registered Voters,Ed Harbison (I) (Dem)_Election Day Votes,Ed Harbison (I) (Dem)_Advanced Voting Votes,Ed Harbison (I) (Dem)_Absentee by Mail Votes,Ed Harbison (I) (Dem)_Provisional Votes,Ed Harbison (I) (Dem)_Choice Total,Total,
0,Talbot,ONeal,555,87,141,108,0,336,336,
1,Talbot,Valley,688,121,144,140,0,405,405,
2,Talbot,Junction City,437,68,56,104,0,228,228,
3,Talbot,Geneva,482,69,83,125,1,278,278,
4,Talbot,Talbotton,884,124,170,218,0,512,512,
5,Talbot,Box Springs,469,94,56,71,0,221,221,
6,Talbot,Flint Hill,1048,198,241,202,0,641,641,
