index,County,Precinct,Registered Voters,Penny Dillingham-Mahone (I) (Dem)_Election Day Votes,Penny Dillingham-Mahone (I) (Dem)_Advanced Voting Votes,Penny Dillingham-Mahone (I) (Dem)_Absentee by Mail Votes,Penny Dillingham-Mahone (I) (Dem)_Provisional Votes,Penny Dillingham-Mahone (I) (Dem)_Choice Total,Total,
0,Talbot,ONeal,555,101,157,116,0,374,374,
1,Talbot,Valley,688,138,167,141,0,446,446,
2,Talbot,Junction City,437,74,62,124,0,260,260,
3,Talbot,Geneva,482,77,94,130,1,302,302,
4,Talbot,Talbotton,884,132,190,239,0,561,561,
5,Talbot,Box Springs,469,101,59,75,0,235,235,
6,Talbot,Flint Hill,1048,202,264,212,0,678,678,
