index,County,Precinct,Registered Voters,Mark P. Jones (Dem)_Election Day Votes,Mark P. Jones (Dem)_Advanced Voting Votes,Mark P. Jones (Dem)_Absentee by Mail Votes,Mark P. Jones (Dem)_Provisional Votes,Mark P. Jones (Dem)_Choice Total,Total,
0,Talbot,ONeal,555,93,141,100,0,334,334,
1,Talbot,Valley,688,127,149,135,0,411,411,
2,Talbot,Junction City,437,69,55,108,0,232,232,
3,Talbot,Geneva,482,69,83,122,1,275,275,
4,Talbot,Talbotton,884,129,175,216,0,520,520,
5,Talbot,Box Springs,469,95,59,74,0,228,228,
6,Talbot,Flint Hill,1048,197,257,199,0,653,653,
