index,County,Precinct,Registered Voters,Jamie L. Huff (I) (Dem)_Election Day Votes,Jamie L. Huff (I) (Dem)_Advanced Voting Votes,Jamie L. Huff (I) (Dem)_Absentee by Mail Votes,Jamie L. Huff (I) (Dem)_Provisional Votes,Jamie L. Huff (I) (Dem)_Choice Total,Total,
0,Talbot,ONeal,555,102,167,118,0,387,387,
1,Talbot,Valley,688,143,182,141,0,466,466,
2,Talbot,Junction City,437,80,67,125,0,272,272,
3,Talbot,Geneva,482,82,100,133,1,316,316,
4,Talbot,Talbotton,884,134,191,234,0,559,559,
5,Talbot,Box Springs,469,107,62,77,0,246,246,
6,Talbot,Flint Hill,1048,212,278,214,0,704,704,
