index,County,Precinct,Registered Voters,"Bobby R. Gates, Sr. (I) (Dem)_Election Day Votes","Bobby R. Gates, Sr. (I) (Dem)_Advanced Voting Votes","Bobby R. Gates, Sr. (I) (Dem)_Absentee by Mail Votes","Bobby R. Gates, Sr. (I) (Dem)_Provisional Votes","Bobby R. Gates, Sr. (I) (Dem)_Choice Total",Justin Jake Johnson (Ind)_Election Day Votes,Justin Jake Johnson (Ind)_Advanced Voting Votes,Justin Jake Johnson (Ind)_Absentee by Mail Votes,Justin Jake Johnson (Ind)_Provisional Votes,Justin Jake Johnson (Ind)_Choice Total,Total,
0,Talbot,ONeal,555,56,90,70,0,216,64,101,51,0,216,432,
1,Talbot,Valley,688,58,70,72,0,200,108,141,90,0,339,539,
2,Talbot,Junction City,437,44,36,86,0,166,43,47,56,0,146,312,
3,Talbot,Geneva,482,61,69,129,1,260,27,52,22,0,101,361,
4,Talbot,Talbotton,884,64,117,172,0,353,74,111,96,0,281,634,
5,Talbot,Box Springs,469,87,53,66,0,206,63,23,20,0,106,312,
6,Talbot,Flint Hill,1048,56,108,112,0,276,173,217,117,0,507,783,
