index,County,Precinct,Registered Voters,Clinton Cosby (I) (Dem)_Election Day Votes,Clinton Cosby (I) (Dem)_Advanced Voting Votes,Clinton Cosby (I) (Dem)_Absentee by Mail Votes,Clinton Cosby (I) (Dem)_Provisional Votes,Clinton Cosby (I) (Dem)_Choice Total,Total,
0,Talbot,ONeal,555,97,158,112,0,367,367,
1,Talbot,Valley,688,144,173,147,0,464,464,
2,Talbot,Junction City,437,75,70,125,0,270,270,
3,Talbot,Geneva,482,80,99,128,1,308,308,
4,Talbot,Talbotton,884,131,193,231,0,555,555,
5,Talbot,Box Springs,469,108,61,75,0,244,244,
6,Talbot,Flint Hill,1048,206,262,209,0,677,677,
