index,County,Precinct,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
0,Baldwin,South Milledgeville,1259,41,109,32,0,182,87,301,183,0,571,5,5,3,0,13,766,
1,Baldwin,City Hall Annex,957,42,74,37,0,153,61,142,108,1,312,3,7,8,0,18,483,
2,Baldwin,Boddie,1381,39,80,23,0,142,130,238,159,0,527,7,4,3,0,14,683,
3,Baldwin,Courthouse,506,27,70,16,0,113,29,76,61,0,166,1,5,2,0,8,287,
4,Baldwin,Fire Dept,1481,38,143,37,0,218,86,349,246,0,681,11,10,4,0,25,924,
5,Baldwin,North Milledgeville,2211,129,527,146,1,803,136,448,237,0,821,8,23,9,0,40,1664,
6,Baldwin,Meriweather,2832,247,890,222,0,1359,112,456,221,0,789,16,35,5,0,56,2204,
7,Baldwin,East Baldwin,3826,284,1062,215,0,1561,177,634,316,0,1127,13,31,18,0,62,2750,
8,Baldwin,Scottsboro,1101,129,230,45,3,407,60,121,90,0,271,7,12,2,0,21,699,
9,Baldwin,North Baldwin,3515,300,1332,250,0,1882,92,412,275,0,779,10,28,10,0,48,2709,
10,Baldwin,West Baldwin,1862,174,458,103,0,735,99,291,189,0,579,6,16,2,0,24,1338,
11,Baldwin,East Hardwick,1313,47,65,27,0,139,121,206,169,0,496,8,5,6,0,19,654,
12,Baldwin,West Hardwick,2903,73,264,74,0,411,249,633,475,0,1357,10,29,12,0,51,1819,
13,Baldwin,Coopers,1574,275,429,64,0,768,61,138,108,0,307,5,13,9,0,27,1102,
