index,County,Precinct,Registered Voters,Henry R. Craig (I) (Rep)_Election Day Votes,Henry R. Craig (I) (Rep)_Advanced Voting Votes,Henry R. Craig (I) (Rep)_Absentee by Mail Votes,Henry R. Craig (I) (Rep)_Provisional Votes,Henry R. Craig (I) (Rep)_Choice Total,Total,
0,Baldwin,City Hall Annex,957,1,4,12,0,17,17,
1,Baldwin,East Baldwin,3826,353,1302,344,0,1999,1999,
2,Baldwin,Scottsboro,1101,45,121,38,0,204,204,
3,Baldwin,North Baldwin,3515,164,734,155,0,1053,1053,
4,Baldwin,East Hardwick,1313,0,0,0,0,0,0,
