index,County,Precinct,Registered Voters,T. Wright Barksdale (Rep)_Election Day Votes,T. Wright Barksdale (Rep)_Advanced Voting Votes,T. Wright Barksdale (Rep)_Absentee by Mail Votes,T. Wright Barksdale (Rep)_Provisional Votes,T. Wright Barksdale (Rep)_Choice Total,Total,
0,Baldwin,South Milledgeville,1259,90,260,107,0,457,457,
1,Baldwin,City Hall Annex,957,77,161,76,0,314,314,
2,Baldwin,Boddie,1381,121,213,74,0,408,408,
3,Baldwin,Courthouse,506,42,111,36,0,189,189,
4,Baldwin,Fire Dept,1481,102,338,117,0,557,557,
5,Baldwin,North Milledgeville,2211,218,767,234,1,1220,1220,
6,Baldwin,Meriweather,2832,330,1160,309,0,1799,1799,
7,Baldwin,East Baldwin,3826,387,1416,374,0,2177,2177,
8,Baldwin,Scottsboro,1101,164,297,85,1,547,547,
9,Baldwin,North Baldwin,3515,362,1572,366,0,2300,2300,
10,Baldwin,West Baldwin,1862,233,595,172,0,1000,1000,
11,Baldwin,East Hardwick,1313,112,157,91,0,360,360,
12,Baldwin,West Hardwick,2903,221,541,221,0,983,983,
13,Baldwin,Coopers,1574,305,489,109,0,903,903,
