index,County,Precinct,Registered Voters,Emily C. Davis (I) (Dem)_Election Day Votes,Emily C. Davis (I) (Dem)_Advanced Voting Votes,Emily C. Davis (I) (Dem)_Absentee by Mail Votes,Emily C. Davis (I) (Dem)_Provisional Votes,Emily C. Davis (I) (Dem)_Choice Total,Total,
0,Baldwin,South Milledgeville,1259,52,178,83,0,313,313,
1,Baldwin,City Hall Annex,957,52,112,79,1,244,244,
2,Baldwin,Boddie,1381,143,266,158,0,567,567,
3,Baldwin,Fire Dept,1481,92,308,208,0,608,608,
4,Baldwin,North Milledgeville,2211,50,163,105,0,318,318,
5,Baldwin,Meriweather,2832,19,48,26,0,93,93,
6,Baldwin,East Baldwin,3826,16,69,39,0,124,124,
7,Baldwin,North Baldwin,3515,12,34,32,0,78,78,
8,Baldwin,East Hardwick,1313,79,165,114,0,358,358,
