index,County,Precinct,Registered Voters,Johnny Westmoreland (I) (Rep)_Election Day Votes,Johnny Westmoreland (I) (Rep)_Advanced Voting Votes,Johnny Westmoreland (I) (Rep)_Absentee by Mail Votes,Johnny Westmoreland (I) (Rep)_Provisional Votes,Johnny Westmoreland (I) (Rep)_Choice Total,Kelvin T. Butts (Dem)_Election Day Votes,Kelvin T. Butts (Dem)_Advanced Voting Votes,Kelvin T. Butts (Dem)_Absentee by Mail Votes,Kelvin T. Butts (Dem)_Provisional Votes,Kelvin T. Butts (Dem)_Choice Total,Total,
0,Baldwin,Fire Dept,1481,4,18,6,0,28,3,19,10,0,32,60,
1,Baldwin,North Milledgeville,2211,101,407,117,1,626,98,351,148,0,597,1223,
2,Baldwin,Meriweather,2832,242,831,205,0,1278,97,424,199,0,720,1998,
3,Baldwin,North Baldwin,3515,148,635,142,0,925,48,247,149,0,444,1369,
4,Baldwin,West Baldwin,1862,46,185,39,0,270,21,76,47,0,144,414,
