index,County,Precinct,Registered Voters,Shane M. Geeter (I) (Dem)_Election Day Votes,Shane M. Geeter (I) (Dem)_Advanced Voting Votes,Shane M. Geeter (I) (Dem)_Absentee by Mail Votes,Shane M. Geeter (I) (Dem)_Provisional Votes,Shane M. Geeter (I) (Dem)_Choice Total,Total,
0,Baldwin,South Milledgeville,1259,112,351,180,0,643,643,
1,Baldwin,City Hall Annex,957,93,193,124,1,411,411,
2,Baldwin,Boddie,1381,151,285,151,0,587,587,
3,Baldwin,Courthouse,506,49,120,62,0,231,231,
4,Baldwin,Fire Dept,1481,116,438,241,0,795,795,
5,Baldwin,North Milledgeville,2211,231,815,305,1,1352,1352,
6,Baldwin,Meriweather,2832,295,1074,347,0,1716,1716,
7,Baldwin,East Baldwin,3826,375,1350,437,0,2162,2162,
8,Baldwin,Scottsboro,1101,140,264,112,1,517,517,
9,Baldwin,North Baldwin,3515,306,1320,414,0,2040,2040,
10,Baldwin,West Baldwin,1862,229,590,242,0,1061,1061,
11,Baldwin,East Hardwick,1313,154,232,171,0,557,557,
12,Baldwin,West Hardwick,2903,292,791,497,0,1580,1580,
13,Baldwin,Coopers,1574,243,421,154,0,818,818,
