index,County,Precinct,Registered Voters,Skye Gess (I) (Rep)_Election Day Votes,Skye Gess (I) (Rep)_Advanced Voting Votes,Skye Gess (I) (Rep)_Absentee by Mail Votes,Skye Gess (I) (Rep)_Provisional Votes,Skye Gess (I) (Rep)_Choice Total,Hoganne Harrison Walton (Dem)_Election Day Votes,Hoganne Harrison Walton (Dem)_Advanced Voting Votes,Hoganne Harrison Walton (Dem)_Absentee by Mail Votes,Hoganne Harrison Walton (Dem)_Provisional Votes,Hoganne Harrison Walton (Dem)_Choice Total,Total,
0,Baldwin,South Milledgeville,1259,39,132,39,0,210,91,270,176,0,537,747,
1,Baldwin,City Hall Annex,957,45,90,44,0,179,57,129,106,1,293,472,
2,Baldwin,Boddie,1381,49,96,27,0,172,122,221,155,0,498,670,
3,Baldwin,Courthouse,506,30,73,17,0,120,27,71,59,0,157,277,
4,Baldwin,Fire Dept,1481,45,165,41,0,251,86,327,243,0,656,907,
5,Baldwin,North Milledgeville,2211,149,563,180,1,893,117,411,215,0,743,1636,
6,Baldwin,Meriweather,2832,260,960,235,0,1455,107,409,209,0,725,2180,
7,Baldwin,East Baldwin,3826,297,1118,253,0,1668,156,589,300,0,1045,2713,
8,Baldwin,Scottsboro,1101,134,241,53,2,430,52,113,91,0,256,686,
9,Baldwin,North Baldwin,3515,328,1378,293,0,1999,67,359,239,0,665,2664,
10,Baldwin,West Baldwin,1862,178,474,107,0,759,96,274,192,0,562,1321,
11,Baldwin,East Hardwick,1313,58,72,35,0,165,111,197,170,0,478,643,
12,Baldwin,West Hardwick,2903,75,286,80,0,441,240,609,480,0,1329,1770,
13,Baldwin,Coopers,1574,276,434,85,0,795,55,132,97,0,284,1079,
