index,County,Precinct,Registered Voters,Sammy Hall (I) (Rep)_Election Day Votes,Sammy Hall (I) (Rep)_Advanced Voting Votes,Sammy Hall (I) (Rep)_Absentee by Mail Votes,Sammy Hall (I) (Rep)_Provisional Votes,Sammy Hall (I) (Rep)_Choice Total,Total,
0,Baldwin,South Milledgeville,1259,19,62,17,0,98,98,
1,Baldwin,City Hall Annex,957,15,38,2,0,55,55,
2,Baldwin,Boddie,1381,9,11,6,0,26,26,
3,Baldwin,Courthouse,506,13,24,13,0,50,50,
4,Baldwin,Fire Dept,1481,20,79,20,0,119,119,
5,Baldwin,Meriweather,2832,2,12,4,0,18,18,
6,Baldwin,Scottsboro,1101,85,134,34,0,253,253,
7,Baldwin,West Baldwin,1862,176,369,121,0,666,666,
8,Baldwin,West Hardwick,2903,16,41,5,0,62,62,
9,Baldwin,Coopers,1574,223,379,86,0,688,688,
